name,slug,description,price,cost_price,category_slug,image_url,barcode,plu,sku,stock_quantity,low_stock_threshold,tax_rate,is_active
7 HYDROXY 240MG BLUE RAZZ 3CT,7-hydroxy-240mg-blue-razz-3ct,,22.5,12.5,general-general,,1E+11,,,0,5,0,1
7 HYDROXY 240MG CHERRY 3CT,7-hydroxy-240mg-cherry-3ct,,22.49,12.49,general-general,,1E+11,,,0,5,0,1
7 HYDROXY 240MG STRAWBERRY 3CT,7-hydroxy-240mg-strawberry-3ct,,22.49,12.5,general-general,,1E+11,,,0,5,0,1
"AUTOMOTIVE:ADDITIVES & FLUIDS (ANTIFREEZE,FLUIDS):HOHNSENS GAS TREATMENT 12 OZ  12 CT",automotive-additives-fluids-antifreezefluids-hohnsens-gas-treatment-12-oz-12-ct,,22.5,19.44,automotive-additives-fluids-antifreezefluids-hohnsens-gas-treatment-12-oz-12-ct,,1E+11,,039101146799,0,5,0,1
"AUTOMOTIVE:ADDITIVES & FLUIDS (ANTIFREEZE,FLUIDS):JOHNSES STARTING FLUID 10.7 OZ 12 CT",automotive-additives-fluids-antifreezefluids-johnses-starting-fluid-107-oz-12-ct,,25.99,22.44,automotive-additives-fluids-antifreezefluids-johnses-starting-fluid-107-oz-12-ct,,1E+11,,039101167626,0,5,0,1
"AUTOMOTIVE:ADDITIVES & FLUIDS (ANTIFREEZE,FLUIDS):PRIME GUARD ANITIFREZE BLACK",automotive-additives-fluids-antifreezefluids-prime-guard-anitifreze-black,,34.99,0,automotive-additives-fluids-antifreezefluids-prime-guard-anitifreze-black,,1E+11,,,-2,5,0,1
AUTOMOTIVE:ARMOR ALL GLASS CLEANER 1 CT,automotive-armor-all-glass-cleaner-1-ct,,2.25,1.9,automotive-armor-all-glass-cleaner-1-ct,,1E+11,,,0,5,0,1
AUTOMOTIVE:ARMOR ALL TIRE FOAM 4 OZ,automotive-armor-all-tire-foam-4-oz,,1.29,1.06,automotive-armor-all-tire-foam-4-oz,,1E+11,,,-6,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE  AMERICAN VANILLA ROMA 24 CT,automotive-car-accessories-little-tree-american-vanilla-roma-24-ct,,14.99,0,automotive-car-accessories-little-tree-american-vanilla-roma-24-ct,,1E+11,,3.00762E+13,-2,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE LAVENDER  24 CT,automotive-car-accessories-little-tree-lavender-24-ct,,14.99,13.68,automotive-car-accessories-little-tree-lavender-24-ct,,1E+11,,3.00762E+13,-4,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE MORNING FRESH 24 CT,automotive-car-accessories-little-tree-morning-fresh-24-ct,,15.5,13.67,automotive-car-accessories-little-tree-morning-fresh-24-ct,,1E+11,,3.00762E+13,-7,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE PEACHY PEACH 24 CT,automotive-car-accessories-little-tree-peachy-peach-24-ct,,15.99,13.67,automotive-car-accessories-little-tree-peachy-peach-24-ct,,1E+11,,3.00762E+13,0,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE VANILLA ROMA 24 CT,automotive-car-accessories-little-tree-vanilla-roma-24-ct,,14.99,13.68,automotive-car-accessories-little-tree-vanilla-roma-24-ct,,1E+11,,3.00762E+13,-6,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE WATERMELON  24CT,automotive-car-accessories-little-tree-watermelon-24ct,,14.99,14.99,automotive-car-accessories-little-tree-watermelon-24ct,,1E+11,,,-1,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE WILD BERRY 24 CT,automotive-car-accessories-little-tree-wild-berry-24-ct,,14.99,0,automotive-car-accessories-little-tree-wild-berry-24-ct,,1E+11,,3.00762E+13,-1,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREE WILD BERRY 24CT,automotive-car-accessories-little-tree-wild-berry-24ct,,14.99,0,automotive-car-accessories-little-tree-wild-berry-24ct,,1E+11,,3.00762E+13,0,5,0,1
